Price,Close,High,Low,Open,Volume
Ticker,PETR4.SA,PETR4.SA,PETR4.SA,PETR4.SA,PETR4.SA
Date,,,,,
2025-07-01,31.489999771118164,31.56999969482422,31.260000228881836,31.450000762939453,17014100
2025-07-02,32.04999923706055,32.2400016784668,31.479999542236328,31.579999923706055,28311600
2025-07-03,32.15999984741211,32.38999938964844,31.940000534057617,32.0,14322300
2025-07-04,32.119998931884766,32.310001373291016,31.969999313354492,32.0,9356900
2025-07-07,32.060001373291016,32.2599983215332,31.899999618530273,32.119998931884766,17938800
2025-07-08,32.52000045776367,32.59000015258789,32.029998779296875,32.06999969482422,28778300
2025-07-09,32.31999969482422,32.630001068115234,32.060001373291016,32.56999969482422,22338900
2025-07-10,32.2400016784668,32.43000030517578,31.719999313354492,32.0099983215332,23102800
2025-07-11,32.630001068115234,32.70000076293945,32.150001525878906,32.20000076293945,23946700
2025-07-14,32.20000076293945,32.77000045776367,32.119998931884766,32.630001068115234,24106300
2025-07-15,31.950000762939453,32.380001068115234,31.809999465942383,32.2400016784668,18688300
2025-07-16,31.790000915527344,31.950000762939453,31.469999313354492,31.899999618530273,27588900
2025-07-17,31.469999313354492,31.770000457763672,31.399999618530273,31.770000457763672,27497600
2025-07-18,30.989999771118164,31.600000381469727,30.600000381469727,31.399999618530273,57635000
2025-07-21,31.049999237060547,31.280000686645508,30.770000457763672,30.889999389648438,16412000
2025-07-22,31.350000381469727,31.579999923706055,30.989999771118164,31.049999237060547,24557100
2025-07-23,31.989999771118164,32.029998779296875,31.299999237060547,31.350000381469727,27418600
2025-07-24,31.940000534057617,32.02000045776367,31.649999618530273,31.93000030517578,17856300
2025-07-25,31.979999542236328,32.18000030517578,31.90999984741211,31.989999771118164,13341000
2025-07-28,32.02000045776367,32.43000030517578,31.68000030517578,32.15999984741211,27972800
2025-07-29,32.439998626708984,32.599998474121094,31.989999771118164,32.189998626708984,33284000
2025-07-30,32.77000045776367,32.83000183105469,32.27000045776367,32.29999923706055,27110400
2025-07-31,32.63999938964844,32.75,32.41999816894531,32.45000076293945,23423100
